,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
762,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0
1723,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
1845,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1
821,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1
31,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1
1145,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
40,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1
1183,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1
1900,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1
1806,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
303,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
